"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bulgaria","BGR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","","0.66","","0.7","","0.68","","0.92","","1.05","","1.28","","1.51","","1.69","","1.49","","1.11","","","","","",
"Bahrein","BHR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.27","","0.27","","0.27","","0.21","","0.21","","0.21","","0.27","","","","0.43","","","","","",
"Bahamas","BHS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","","0.92","","","","","",
"Bosnia y Herzegovina","BIH","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","","0.68","","0.74","","0.97","","1.34","","1.13","","1.42","","1.59","","1.51","","1.05","","","","","",
"Belarús","BLR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.55","","0.5","","0.62","","0.79","","1.33","","1.08","","0.88","","1.06","","0.6","","","","","",
"Belice","BLZ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.27","","0.7","","1.13","","1.44","","1.37","","1.13","","","","","",
"Bermudas","BMU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.38","","","0.53","","0.8","","0.69","","0.54","","0.54","","0.68","","0.7","","0.7","","0.7","","0.71","","","","","",
"Brasil","BRA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","","","0.63","","","0.8","","0.92","","0.55","","0.84","","1.26","","1.26","","1.58","","1.39","","1.27","","1.02","","","","","",
"Barbados","BRB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","","0.95","","0.66","","0.82","","1.11","","1","","1.25","","","","1.81","","","","","","","",
"Brunei Darussalam","BRN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.31","","0.3","","0.32","","0.34","","0.38","","0.39","","0.43","","0.41","","0.37","","","","","",
"Bhután","BTN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","0.58","","","","0.78","","","","0.91","","1.08","","1.19","","1.04","","0.98","","","","","",
"Botswana","BWA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.41","","","0.38","","","0.31","","0.42","","0.41","","0.66","","0.78","","0.88","","0.93","","1.23","","1.06","","0.71","","","","","",
"República Centroafricana","CAF","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33","1.28","","","0.82","","","0.81","","","","1","","1.29","","1.37","","1.44","","1.71","","1.71","","1.69","","1.41","","","","","",
"Canadá","CAN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","","0.45","","","0.41","","0.58","","0.51","","0.68","","0.84","","0.76","","1.21","","1.32","","1.17","","0.81","","","","","",
"Europa Central y del Báltico","CEB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","","","0.61","","0.69","","0.74","","1.08","","1.26","","1.27","","1.59","","1.8","","1.58","","1.16","","","","","",
"Suiza","CHE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","","","0.86","","0.78","","0.89","","1.29","","1.27","","1.3","","1.66","","1.88","","1.74","","1.45","","","","","",
"Islas del Canal","CHI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.53","","","0.49","","0.64","","0.58","","0.85","","1.09","","0.95","","1.38","","1.56","","1.52","","1.03","","","","","",
"China","CHN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","","0.28","","0.4","","0.42","","0.48","","0.69","","0.99","","1.11","","1.37","","1.17","","0.96","","","","","",
"Côte d'Ivoire","CIV","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24","1.23","","","0.83","","","0.74","","0.76","","0.85","","1.14","","1.2","","1.33","","1.68","","1.51","","1.42","","0.93","","","","","",
"Camerún","CMR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.69","","","0.68","","","0.64","","0.56","","0.68","","0.95","","1.14","","1.14","","1.2","","1.1","","1.24","","1.03","","","","","",
"Congo, República Democrática del","COD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.74","","","0.73","","","0.5","","1","","0.7","","0.92","","0.94","","1.23","","1.28","","1.48","","1.68","","1.49","","","","","",
"Congo, República del","COG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","","","","","","","0.72","","0.53","","0.69","","0.87","","0.96","","0.81","","1.27","","1.15","","1.13","","0.97","","","","","",
"Colombia","COL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","","0.35","","","0.24","","0.49","","0.44","","0.72","","0.98","","1.04","","1.41","","1.28","","1.08","","0.68","","","","","",
"Comoras","COM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","","","","","","0.81","","0.59","","","","1.4","","","","1.84","","1.84","","2.3","","1.56","","1.02","","","","","",
"Costa Rica","CRI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","","0.78","","0.98","","1.24","","1.14","","1.57","","1.44","","0.98","","","","","",
"Estados pequeos del Caribe","CSS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","0.705","","0.94","","0.875","","1.02","","","","1.29","","","","","","","",
"Cuba","CUB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","0.9","","0.95","","1.1","","1.67","","1.72","","1.4","","1.4","","","","","","","",
"Curacao","CUW","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
